Character,Name,Chinese,English
,保镖A,烫烫烫！焦了焦了！
,保镖B,噫！我的头发！
,保镖A,啧，撤退，撤退！
char_134_ifrit_summer_1,伊芙利特,哈哈哈，果然还是打架有意思啊，博士！
char_134_ifrit_summer_1,伊芙利特,啊，对了，博士，我这是为了救你，而且也听你的话没有下重手了，你可不许告诉赫默我打架的事！
char_134_ifrit_summer_1,伊芙利特,要是被她知道了我的作业肯定又要变多了！
,PLAYER,没问题。
,PLAYER,作业你要自己努力。
char_134_ifrit_summer_1,伊芙利特,嘿嘿，我就知道博士是个好人！
char_134_ifrit_summer_1,伊芙利特,哼，那我可不管！
char_348_ceylon_4#8,锡兰,源石驱动的火焰喷射器......而且这个功率，好厉害的术师。
char_134_ifrit_summer_1,伊芙利特,大姐，你的眼光不错欸，我超厉害的！
char_348_ceylon_4#2,锡兰,我叫锡兰。
char_348_ceylon_4#2,锡兰,谢谢你救了我们。
char_134_ifrit_summer_1,伊芙利特,哦、哦......没关系。这，这是我该做的。
char_134_ifrit_summer_1,伊芙利特,喂，博士，这个姐姐好懂礼貌啊，这种时候我该怎么做来着？
,PLAYER,微笑。
,PLAYER,鞠躬。
,PLAYER,跳舞。
char_134_ifrit_summer_1,伊芙利特,噢，好吧，那我试......
char_134_ifrit_summer_1,伊芙利特,啊？我忘记我的烤肉还在架子上了！我不跟你们多说了！
char_134_ifrit_summer_1,伊芙利特,博士，锡兰，你们之后要是想吃烧烤记得来找我啊！
,PLAYER,竟然直接就跑开了。
char_348_ceylon_4#2,锡兰,博士，我们也赶紧回去吧。
char_188_helage_1,？？？,博士，你们平安无事，很好。
char_348_ceylon_4#5,锡兰,十分感谢您的相助，请问......
char_188_helage_1,赫拉格,你可以叫我赫拉格。
char_188_helage_1,赫拉格,和博士一样，我也来自罗德岛。
char_188_helage_1,赫拉格,博士，你现在有时间吗，有些话我要单独告诉你。
