Character,Name,Chinese,English
char_013_riop,近卫干员,是我的错觉，还是天确实越来越暗了？
char_130_doberm_ex,杜宾,......我也希望是你的错觉。
char_130_doberm_ex,杜宾,不过我们本来时间就不多。
char_130_doberm_ex,杜宾,天灾云的形状比刚才黑压压的一片更加清晰了。
char_130_doberm_ex,杜宾,啧，裸眼看着它慢慢在头上凝聚显形，可不是什么好兆头。
char_130_doberm_ex,杜宾,加上，下城区的每一条街道都可能埋伏着整合运动......
char_130_doberm_ex,杜宾,不，这个说法太过保守了。
char_148_nearl_1,临光,该说是，整合运动满满当当的挤在街上。
char_148_nearl_1,医疗干员,几乎每条街上都有暴徒在搞破坏，抢劫，焚毁交通工具和店铺......
char_148_nearl_1,医疗干员,这帮家伙，是觉得天气太好，所以出来野餐集会吗！
char_148_nearl_1,临光,现在跑出来野餐，一定会遭到天灾的无情摧残。
char_148_nearl_1,临光,这说明大部分整合运动都是些被野蛮冲昏头脑的傻瓜。
char_002_amiya_1#6,阿米娅,......
char_002_amiya_1#2,阿米娅,......噗。
char_016_medic,医疗干员,他们不是真的要......野餐啦......
char_016_medic,医疗干员,我，我只是发个牢骚，不是那个意思......
char_016_medic,临光,——
char_016_medic,临光,这不是个形容吗？难道说这是个包袱？
char_016_medic,临光,嗯......
char_016_medic,临光,抱歉，总是在这种时候......
char_016_medic,医疗干员,唔唔唔......没，没事......
char_016_medic,医疗干员,反而是憋笑有点难受......！
char_016_medic,医疗干员,唔，抱歉......明明是很紧要的时期，我却......
char_016_medic,阿米娅,没关系的。
char_016_medic,阿米娅,我们不是为了让大家都哭丧着脸才建立起罗德岛的。
char_016_medic,阿米娅,罗德岛，本来就希望各位，都能绽放笑容。
char_016_medic,医疗干员,阿，阿米娅......
char_148_nearl_1#2,阿米娅,没关系的，医生！
char_130_doberm_ex,杜宾,那我们，就去为侦查工作贡献一份力量吧。
char_130_doberm_ex,杜宾,四点钟方向的敌人，我会安静地处理掉。
char_130_doberm_ex,杜宾,只要他们体内的病变器官不是什么警报器或爆炸物就行。
char_014_riope,Ace,另一侧，游离于据点之外的大批整合运动，就交给我们吧。
char_014_riope,Ace,只要杂音够大，就没有人能分辨出里面究竟包含了什么声音。
char_014_riope,杜宾,那么，各自行动起来！
