Character,Name,Chinese,English
char_103_angel_1,能天使,......说好让我表现一下的呢。
char_102_texas_1,德克萨斯,你太慢了。
char_002_amiya_1#2,阿米娅,大家都平安无事就好了。
char_002_amiya_1#2,阿米娅,我们该转移了。
char_002_amiya_1#2,阿米娅,从东边这座建筑物向下逐层移动吧，整合运动不会知道我们在哪里的。
char_012_misa_1,米莎,......我们......安全了吗？
char_002_amiya_1#2,阿米娅,是的......暂时。
char_002_amiya_1#4,阿米娅,......你脸色不太好。
char_012_misa_1,米莎,......我......有一点头晕。
char_012_misa_1,米莎,没......什么。
char_002_amiya_1,阿米娅,你来龙门......多长时间了，米莎小姐？
char_012_misa_1,米莎,一个星期......吧。
char_002_amiya_1,阿米娅,一个星期......？
char_012_misa_1,米莎,嗯......城市里......出现了很多怪人......然后就......
char_012_misa_1,米莎,我不知道发生了什么......大家都开始跑......我也......
char_002_amiya_1#4,阿米娅,是整合运动......整合运动攻击了切尔诺伯格。
char_012_misa_1,米莎,我不知道。
char_002_amiya_1,阿米娅,你......之前是感染者吗？
char_012_misa_1,米莎,我......不知道......
char_012_misa_1,米莎,但就是那几天，腿上......长出了这个。
char_012_misa_1,米莎,......我......
char_012_misa_1,米莎,......
char_012_misa_1,阿米娅,......米莎？米莎？！
char_012_misa_1,阿米娅,医疗！医疗小队！！
