Character,Name,Chinese,English
char_012_misa_1,米莎,呜唔......
char_103_angel_1,能天使,她......怎么了？
char_002_amiya_1#4,阿米娅,这，这是矿石病发作的征兆！
char_002_amiya_1#4,阿米娅,啧，才一星期就......！
char_107_liskam_1,雷蛇,矿石病也有急性的吗？
char_107_liskam_1,雷蛇,芙兰卡，你是哪种？
char_106_franka_1,芙兰卡,怎么，关心我了吗？
char_107_liskam_1,雷蛇,阿米娅，如果芙兰卡病逝了，我希望能在罗德岛火化她。
char_106_franka_1,芙兰卡,喂！
char_106_franka_1,芙兰卡,你很过分哦，雷蛇！
char_107_liskam_1,雷蛇,平时老说要传染我的不是你吗！
char_002_amiya_1#4,阿米娅,哈，哈哈......
char_002_amiya_1#4,阿米娅,急性和慢性之分，具体回答起来有些复杂......
char_002_amiya_1#4,阿米娅,但至少，米莎她的情况，非常危险。
char_002_amiya_1#4,阿米娅,这样下去，在很短的时间内，矿石病就有可能威胁到她的生命。
char_002_amiya_1#4,阿米娅,只能先应急处理一下......
char_002_amiya_1#4,阿米娅,但对米莎的病情进行控制这件事，刻不容缓。
char_002_amiya_1#4,阿米娅,必须向龙门声明这一点。事件平息之后，我们必须把米莎接回罗德岛。
char_002_amiya_1#4,阿米娅,这是我们对任务目标的责任。
char_103_angel_1,能天使,呃......
char_103_angel_1,能天使,她是不是......快爆了？
char_103_angel_1,能天使,唉！疼！为什么要打我......
char_102_texas_1,德克萨斯,说话注意点。
char_103_angel_1,能天使,呜......
char_106_franka_1,芙兰卡,如果有一天我快爆了，我一定会努力爬到你身边的。
char_103_angel_1,能天使,对不起！芙兰卡小姐！以前多有得罪请原谅我！
char_106_franka_1,芙兰卡,噗。
char_107_liskam_1,雷蛇,先把目标转移到安全的地区吧。
char_107_liskam_1,雷蛇,顺便，我们后方，发生了些情况。
char_107_liskam_1,感染者,你们要干什么！！滚出去！！
char_107_liskam_1,整合运动成员,大家都是感染者，我们不想动粗！别挡路！
char_107_liskam_1,感染者,你已经毁了我们的家，现在还要把近卫局引过来吗！别想过去！！
char_107_liskam_1,感染者,你......！不识时务的家伙，快滚开！！
char_107_liskam_1,感染者,呜啊！
char_107_liskam_1,感染者,别逼我们！
char_106_franka_1,芙兰卡,（要动手吗？）
char_106_franka_1,芙兰卡,（看来他们是跟丢了。现在动手的话，罗德岛会暴露行踪。）
char_107_liskam_1,雷蛇,（会不会干扰到任务进程？如果会，后果有多严重？）
char_106_franka_1,芙兰卡,（有一定影响，但——）
char_106_franka_1,芙兰卡,（没有那么严重吧？）
char_002_amiya_1,阿米娅,那就干吧。
char_002_amiya_1,阿米娅,如果条件允许，救助感染者是罗德岛理所当然的任务。
char_106_franka_1,芙兰卡,哼哼，好。
char_106_franka_1,芙兰卡,果然当初选择跟着你是正确的。
char_002_amiya_1#6,阿米娅,那是什么意思......芙兰卡小姐？
char_106_franka_1,芙兰卡,没什么没什么，就是夸夸你！
char_107_liskam_1,雷蛇,大概意思是，性格和你很合得来吧？
char_106_franka_1,芙兰卡,你为什么那么懂我呢？
char_107_liskam_1,雷蛇,大概是因为，你可真烦人吧？
char_002_amiya_1,阿米娅,唔......
char_106_franka_1,芙兰卡,该教训一下这帮为非作歹的家伙了。
char_002_amiya_1,阿米娅,嗯。
char_002_amiya_1,阿米娅,小心那些会在各个建筑物间跳来跳去的整合运动感染者。
char_002_amiya_1,阿米娅,除此之外，还要记得保全龙门本地的感染者！
char_002_amiya_1,德克萨斯,难度不小。
char_002_amiya_1,德克萨斯,——但，没问题。
char_002_amiya_1,能天使,那就，上吧！
char_002_amiya_1,能天使,Dr.{@nickname}，要好好指挥我和德克萨斯哦！
