Character,Name,Chinese,English
,感染者,谢谢，谢谢你们......
char_002_amiya_1,阿米娅,这里不安全，快离开吧。
char_002_amiya_1,感染者,离开......
char_002_amiya_1,感染者,我们......又能去哪里呢？
char_002_amiya_1,感染者,我们把这里当成家......现在，什么都毁了......
char_002_amiya_1#4,阿米娅,......抱歉。
char_002_amiya_1#4,感染者,你们......没有错。
char_002_amiya_1#4,感染者,没有错......
char_103_angel_1,能天使,自称感染者救星的整合运动居然会攻击感染者。
char_103_angel_1,能天使,形象......是不是崩塌了呢。
char_102_texas_1,德克萨斯,但所谓整合运动的渗透，绝对不是自发的。
char_102_texas_1,德克萨斯,龙门一定有不少感染者，已经追随了整合运动。
char_103_angel_1,能天使,唉，宁可相信整合运动也不相信罗德岛——
char_106_franka_1,芙兰卡,罗德岛从来不开空头支票。
char_106_franka_1,芙兰卡,整合运动给感染者的，哪怕只是些幻觉，都没问题。
char_106_franka_1,芙兰卡,感染者连幻觉都很难看得到啊。
char_106_franka_1,芙兰卡,即使是幻觉，大多数感染者也会不顾一切，伸手去抓那虚无缥缈的救命稻草吧。
char_106_franka_1,芙兰卡,又有谁会选择相信，从不忍心欺骗别人的小兔子呢？
char_002_amiya_1#4,阿米娅,......
char_012_misa_1#5,米莎,......我相信。
char_002_amiya_1#6,阿米娅,米莎......？
char_012_misa_1,米莎,唔......
char_002_amiya_1#6,阿米娅,小心！你还不能随便走动！
char_012_misa_1,米莎,是有点头昏......没关系的。
char_012_misa_1,米莎,整合运动......还会追上来吧？
char_012_misa_1,米莎,我不清楚他们的目的......
char_012_misa_1,米莎,只是......
char_012_misa_1,米莎,我们......走吧。
char_012_misa_1,米莎,阿米娅。
char_002_amiya_1#3,阿米娅,——
char_002_amiya_1#2,阿米娅,我明白了。
char_002_amiya_1#2,阿米娅,那我们就立刻动身。
char_002_amiya_1#2,阿米娅,很快，我们就能离开贫民区，与龙门近卫局会合了。
char_002_amiya_1#2,阿米娅,谢谢你，米莎。
char_012_misa_1,米莎,不......
char_012_misa_1,米莎,该我......感谢你。
