Character,Rarity,Skill Name,RoomType,BuffCategory,Skill Description,Required Level
Noir Corne,2,Warehouse Organization·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, storage capacity +10 and production +10%",Lvl 1
,,Order Management·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +10% and order limit +1",Lvl 30
Beagle,3,Warehouse Organization·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, storage capacity +6 and production +10%",Lvl 1
,,Lively,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.2 per hour (When stacked, only the highest effect becomes active); At the same time, self mood recovery per hour +0.4",Elite 1 Lvl 1
Cardigan,3,Warehouse Organization·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, storage capacity +6 and production +10%",Lvl 1
,,Lively,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.2 per hour (When stacked, only the highest effect becomes active); At the same time, self mood recovery per hour +0.4",Elite 1 Lvl 1
Cuora,4,Warehouse Organization·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, storage capacity +10 and production +10%",Lvl 1
,,Order Distribution·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +20%",Elite 1 Lvl 1
ГУМ,4,Communication,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +30% and mood reduction per hour -0.25",Lvl 1
,,Cooking,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.35 per hour (When stacked, only the highest effect becomes active); At the same time, self mood recovery per hour +0.35",Elite 1 Lvl 1
Matterhorn,4,Karlan Trading·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +15% and order limit +1",Lvl 1
,,Defender Specialization·β,TRAINING,FUNCTION,"When stationed at the Training Station, reduce the skill training time of Defender operatives by -50%",Elite 1 Lvl 1
Liskarm,5,Pulsing Arc·α,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +15%",Lvl 1
,,Pulsing Arc·β,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +20%",Elite 2 Lvl 1
Nearl,5,Competent,CONTROL,FUNCTION,"When stationed at the Command Center, mood reduction per hour of other operatives in the Command Center -0.05",Lvl 1
,,Knight of Light,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.5 per hour (When stacked, only the highest effect becomes active); At the same time, self mood recovery per hour +0.25",Elite 2 Lvl 1
Vulcan,5,Craftsmanship·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production-10%, storage capacity +16 and mood reduction per hour -0.05",Lvl 1
,,Craftsmanship·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production-10%, storage capacity +16 and mood reduction per hour -0.25",Elite 2 Lvl 1
Croissant,5,Penguin Logistics·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +20%",Lvl 1
,,Mission Guarantee,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +30% and order limit +1",Elite 2 Lvl 1
Hoshiguma,6,Defender Specialization·α,TRAINING,FUNCTION,"When stationed at the Training Station, reduce the skill training time of Defender operatives by -30%",Lvl 1
,,Shield of Prajna,TRAINING,FUNCTION,"When stationed at the Training Station, reduce the skill training time of Defender operatives by -60%",Elite 2 Lvl 1
Saria,6,Clue Collection·α,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10%",Lvl 1
,,Watchman,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10% and it becomes easier to obtain clues from Rhine Labs",Elite 2 Lvl 1
