Character,Rarity,Skill Name,RoomType,BuffCategory,Skill Description,Required Level
Orchid,3,Psychology,HIRE,FUNCTION,"When stationed at Human Resource, accumulation of networking resources +40%",Lvl 1
,,Supply Management,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +25% and order limit +1",Elite 1 Lvl 1
Deepcolor,4,Order Distribution·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +20%",Lvl 1
,,Focus·β,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing any kind of material, increase the rate of by-products by 60%",Elite 1 Lvl 1
Earthspirit,4,Disaster Messenger·α,HIRE,FUNCTION,"When stationed at Human Resource, accumulation of networking resources +30%",Lvl 1
,,Geologist,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of originium products by +35%",Elite 1 Lvl 1
Sora,5,Idol,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of all operators within that dorm by +0.15 per hour (When stacked, only the highest effect becomes active)",Lvl 1
,,Penguin Logistics·β,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +30%",Elite 2 Lvl 1
Pramanix,5,Saintess of Karlan,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.5 per hour (When stacked, only the highest effect becomes active); At the same time, self mood recovery per hour +0.25",Lvl 1
,,Supporter Specialization·β,TRAINING,FUNCTION,"When stationed at the Training Station, reduce the skill training time of Supporter operatives by -50%",Elite 2 Lvl 1
Истина,5,Supporter Specialization·α,TRAINING,FUNCTION,"When stationed at the Training Station, reduce the skill training time of Supporter operatives by -30%",Lvl 1
,,Staff,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10% and it becomes easier to obtain clues from Ursus Student Council",Elite 2 Lvl 1
Mayer,5,Mibo·Processing Model,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing any kind of material, increase the rate of by-products by 65%",Lvl 1
,,Mibo·Production Model,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +30%",Elite 2 Lvl 1
Angelina,6,Clue Collection·α,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10%",Lvl 1
,,Envoy,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10% and it becomes easier to obtain clues from Rhodes Island",Elite 2 Lvl 1
