Character,Rarity,Skill Name,RoomType,BuffCategory,Skill Description,Required Level
Yato,2,Order Distribution·β,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +30%",Lvl 1
,,Standardization·α,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +15%",Lvl 30
Fang,3,Impatient,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +20% for the first hour. Thereafter, increase by +1% every hour, capping at +25%",Lvl 1
,,Order Distribution·β,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +30%",Elite 1 Lvl 1
Plume,3,Vanguard Specialization·α,TRAINING,FUNCTION,"When stationed at the Training Station, reduce the skill training time of Vanguard operatives by -30%",Lvl 1
,,Order Management·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +10% and order limit +1",Elite 1 Lvl 1
Vanilla,3,Standardization·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, production +25%",Lvl 1
,,Order Distribution·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +20%",Elite 1 Lvl 1
Scavenger,4,S.W.E.E.P,CONTROL,FUNCTION,"When stationed at the Command Center, mood reduction per hour of other operatives in the Command Center -0.05",Lvl 1
,,Scavenger,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, storage capacity +8 and mood reduction per hour -0.25",Elite 1 Lvl 1
Courier,4,Karlan Trading·α,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +15% and order limit +1",Lvl 1
,,Messenger,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +10% and it becomes easier to obtain clues from Karlan Trading",Elite 1 Lvl 1
Vigna,4,Combat Directive Recordings,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of EXP cards by +30%",Lvl 1
,,Vanguard Specialization·β,TRAINING,FUNCTION,"When stationed at the Training Station, reduce the skill training time of Vanguard operatives by -50%",Elite 1 Lvl 1
Texas,5,Resentment,TRADING,OUTPUT,"When stationed together with Lappland at the same Trade Station, mood reduction per hour +0.3 and order acquisition efficiency +65%",Lvl 1
,,Good Chemistry,TRADING,OUTPUT,"When stationed together with Exusiai at the same Trade Station, mood reduction per hour -0.3",Elite 2 Lvl 1
зима,5,Leader,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of all operators within that dorm by +0.15 per hour (When stacked, only the highest effect becomes active)",Lvl 1
,,Winter General,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of all operators within that dorm by +0.2 per hour (When stacked, only the highest effect becomes active)",Elite 2 Lvl 1
Siege,6,Leader,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of all operators within that dorm by +0.15 per hour (When stacked, only the highest effect becomes active)",Lvl 1
,,Lionheart Sovereign,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of all operators within that dorm by +0.2 per hour (When stacked, only the highest effect becomes active)",Elite 2 Lvl 1
