Character,Rarity,SkillId,Skill Name,Skill Level,SP Cost,Initial SP,Skill Duration,Charging Type,Skill Description,,,,,,,,
Melantha,3,skcom_atk_up[1],Attack Strengthening·Type α,1,50,0,20,Regen over time,Attack power +{{atk}:.0%},atk,0.1,,,,,,
,,,,2,50,0,20,,Attack power +{{atk}:.0%}, ,0.15,,,,,,
,,,,3,50,0,20,,Attack power +{{atk}:.0%}, ,0.2,,,,,,
,,,,4,45,0,20,,Attack power +{{atk}:.0%}, ,0.3,,,,,,
,,,,5,45,0,20,,Attack power +{{atk}:.0%}, ,0.35,,,,,,
,,,,6,45,0,20,,Attack power +{{atk}:.0%}, ,0.4,,,,,,
,,,,7,40,0,20,,Attack power +{{atk}:.0%}, ,0.5,,,,,,
Dobermann,4,skchr_doberm_1,Powerful Strike·Type β,1,5,0,0,Regen on attack,The next attack deals {{atk_scale}:.0%} damage,atk_scale,1.7,,,,,,
,,,,2,5,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,1.75,,,,,,
,,,,3,5,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,1.8,,,,,,
,,,,4,4,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,1.85,,,,,,
,,,,5,4,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,1.9,,,,,,
,,,,6,4,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,1.95,,,,,,
,,,,7,4,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,2,,,,,,
,,,,8,4,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,2.1,,,,,,
,,,,9,4,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,2.2,,,,,,
,,,,10,3,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,2.3,,,,,,
Dobermann,4,skchr_doberm_2,Supervision,1,80,30,25,Regen over time,"Attack power +{{atk}:.0%}, Increase effect of self talent by {talent_scale}x",atk,0.3,talent_scale,2.1,,,,
