Character,Rarity,SkillId,Skill Name,Skill Level,SP Cost,Initial SP,Skill Duration,Charging Type,Skill Description,,,,,,,,
Hibiscus,3,skcom_heal_up[1],Healing Strengthening·Type α,1,40,0,20,Regen over time,Attack power +{{atk}:.0%},atk,0.1,,,,,,
,,,,2,40,0,20,,Attack power +{{atk}:.0%}, ,0.15,,,,,,
,,,,3,40,0,20,,Attack power +{{atk}:.0%}, ,0.2,,,,,,
,,,,4,35,0,20,,Attack power +{{atk}:.0%}, ,0.3,,,,,,
,,,,5,35,0,20,,Attack power +{{atk}:.0%}, ,0.35,,,,,,
,,,,6,35,0,20,,Attack power +{{atk}:.0%}, ,0.4,,,,,,
,,,,7,30,0,20,,Attack power +{{atk}:.0%}, ,0.5,,,,,,
Ansel,3,skcom_range_extend,Healing Range Strengthening,1,45,10,19,Regen over time,"Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack power +{{atk}:.0%}",ability_range_forward_extend,1,atk,0.05,,,,
,,,,2,44,10,20,,"Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack power +{{atk}:.0%}", ,1, ,0.1,,,,
,,,,3,43,10,21,,"Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack power +{{atk}:.0%}", ,1, ,0.15,,,,
,,,,4,40,10,22,,"Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack power +{{atk}:.0%}", ,2, ,0.2,,,,
,,,,5,39,10,23,,"Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack power +{{atk}:.0%}", ,2, ,0.25,,,,
,,,,6,38,10,24,,"Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack power +{{atk}:.0%}", ,2, ,0.3,,,,
,,,,7,35,10,25,,"Attack range +{{ability_range_forward_extend}:.0f} tiles, Attack power +{{atk}:.0%}", ,2, ,0.4,,,,
Myrrh,4,skchr_myrrh_1,Double Heal,1,10,0,0,Regen over time,The next heal will recover HP equal to {{heal_scale}:.0%} of Attack power and heal an additional target. Can hold {{ct}:.0f} charge(s),heal_scale,1,ct,1,,,,
,,,,2,10,0,0,,The next heal will recover HP equal to {{heal_scale}:.0%} of Attack power and heal an additional target. Can hold {{ct}:.0f} charge(s), ,1.02, ,1,,,,
,,,,3,10,0,0,,The next heal will recover HP equal to {{heal_scale}:.0%} of Attack power and heal an additional target. Can hold {{ct}:.0f} charge(s), ,1.04, ,1,,,,
,,,,4,9,0,0,,The next heal will recover HP equal to {{heal_scale}:.0%} of Attack power and heal an additional target. Can hold {{ct}:.0f} charge(s), ,1.06, ,2,,,,
,,,,5,9,0,0,,The next heal will recover HP equal to {{heal_scale}:.0%} of Attack power and heal an additional target. Can hold {{ct}:.0f} charge(s), ,1.08, ,2,,,,
,,,,6,9,0,0,,The next heal will recover HP equal to {{heal_scale}:.0%} of Attack power and heal an additional target. Can hold {{ct}:.0f} charge(s), ,1.1, ,2,,,,
,,,,7,9,0,0,,The next heal will recover HP equal to {{heal_scale}:.0%} of Attack power and heal an additional target. Can hold {{ct}:.0f} charge(s), ,1.12, ,3,,,,
,,,,8,8,0,0,,The next heal will recover HP equal to {{heal_scale}:.0%} of Attack power and heal an additional target. Can hold {{ct}:.0f} charge(s), ,1.16, ,3,,,,
,,,,9,8,0,0,,The next heal will recover HP equal to {{heal_scale}:.0%} of Attack power and heal an additional target. Can hold {{ct}:.0f} charge(s), ,1.2, ,3,,,,
,,,,10,8,0,0,,The next heal will recover HP equal to {{heal_scale}:.0%} of Attack power and heal an additional target. Can hold {{ct}:.0f} charge(s), ,1.25, ,3,,,,
Myrrh,4,skchr_myrrh_2,Healing Field,1,65,5,25,Regen over time,"Attack power +{{atk}:.0%}, heal an additional target on every heal",atk,0.05,,,,,,
,,,,2,65,5,25,,"Attack power +{{atk}:.0%}, heal an additional target on every heal", ,0.1,,,,,,
,,,,3,65,5,25,,"Attack power +{{atk}:.0%}, heal an additional target on every heal", ,0.15,,,,,,
,,,,4,60,10,25,,"Attack power +{{atk}:.0%}, heal an additional target on every heal", ,0.2,,,,,,
,,,,5,60,10,25,,"Attack power +{{atk}:.0%}, heal an additional target on every heal", ,0.25,,,,,,
,,,,6,60,10,25,,"Attack power +{{atk}:.0%}, heal an additional target on every heal", ,0.3,,,,,,
,,,,7,55,15,25,,"Attack power +{{atk}:.0%}, heal an additional target on every heal", ,0.35,,,,,,
,,,,8,53,17,25,,"Attack power +{{atk}:.0%}, heal an additional target on every heal", ,0.45,,,,,,
,,,,9,52,18,25,,"Attack power +{{atk}:.0%}, heal an additional target on every heal", ,0.55,,,,,,
,,,,10,50,20,25,,"Attack power +{{atk}:.0%}, heal an additional target on every heal", ,0.65,,,,,,
Gavial,4,skchr_ccheal_1,Revitalization,1,10,0,-1,Regen over time,"On the next heal, additionally heal the target for {{heal_scale}:.0%} of Gavial's Attack power per second ({{heal_scale_2}:.0%} when HP is below 1/2) for {{duration}:.0f} seconds. Can hold {{ct}:.0f} charge(s)",heal_scale,0.2,heal_scale_2,0.4,duration,4,ct,1
