Character,Rarity,SkillId,Skill Name,Skill Level,SP Cost,Initial SP,Skill Duration,Charging Type,Skill Description,,,,,,
Kroos,3,skchr_kroos_1,Consecutive Shot·Auto,1,5,0,0,Regen on attack,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage",times,2,atk_scale,1,,
,,,,2,5,0,0,,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage", ,2, ,1.05,,
,,,,3,5,0,0,,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage", ,2, ,1.1,,
,,,,4,4,0,0,,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage", ,2, ,1.2,,
,,,,5,4,0,0,,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage", ,2, ,1.25,,
,,,,6,4,0,0,,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage", ,2, ,1.3,,
,,,,7,4,0,0,,"The next attack hits {{times}:.0f} times, with each hit dealing {{atk_scale}:.0%} physical damage", ,2, ,1.4,,
Adnachiel,3,skcom_atk_up[1],Attack Strengthening·Type α,1,50,0,20,Regen over time,Attack power +{{atk}:.0%},atk,0.1,,,,
,,,,2,50,0,20,,Attack power +{{atk}:.0%}, ,0.15,,,,
,,,,3,50,0,20,,Attack power +{{atk}:.0%}, ,0.2,,,,
,,,,4,45,0,20,,Attack power +{{atk}:.0%}, ,0.3,,,,
,,,,5,45,0,20,,Attack power +{{atk}:.0%}, ,0.35,,,,
,,,,6,45,0,20,,Attack power +{{atk}:.0%}, ,0.4,,,,
,,,,7,40,0,20,,Attack power +{{atk}:.0%}, ,0.5,,,,
Jessica,4,skchr_jesica_1,Powerful Strike·Type β,1,5,0,0,Regen on attack,The next attack deals {{atk_scale}:.0%} damage,atk_scale,1.7,,,,
,,,,2,5,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,1.75,,,,
,,,,3,5,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,1.8,,,,
,,,,4,4,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,1.85,,,,
,,,,5,4,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,1.9,,,,
,,,,6,4,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,1.95,,,,
,,,,7,4,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,2,,,,
,,,,8,4,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,2.1,,,,
,,,,9,4,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,2.2,,,,
,,,,10,3,0,0,,The next attack deals {{atk_scale}:.0%} damage, ,2.3,,,,
Jessica,4,skchr_jesica_2,Cover Smoke,1,50,10,20,Regen over time,"Attack power +{{atk}:.0%}, Obtain {{prob}:.0%} physical and magic evasion",atk,0.2,prob,0.75,,
,,,,2,49,10,20,,"Attack power +{{atk}:.0%}, Obtain {{prob}:.0%} physical and magic evasion", ,0.25, ,0.75,,
,,,,3,48,10,20,,"Attack power +{{atk}:.0%}, Obtain {{prob}:.0%} physical and magic evasion", ,0.3, ,0.75,,
,,,,4,47,10,21,,"Attack power +{{atk}:.0%}, Obtain {{prob}:.0%} physical and magic evasion", ,0.35, ,0.75,,
,,,,5,46,10,21,,"Attack power +{{atk}:.0%}, Obtain {{prob}:.0%} physical and magic evasion", ,0.4, ,0.75,,
,,,,6,45,10,21,,"Attack power +{{atk}:.0%}, Obtain {{prob}:.0%} physical and magic evasion", ,0.45, ,0.75,,
,,,,7,44,15,22,,"Attack power +{{atk}:.0%}, Obtain {{prob}:.0%} physical and magic evasion", ,0.5, ,0.75,,
,,,,8,43,15,23,,"Attack power +{{atk}:.0%}, Obtain {{prob}:.0%} physical and magic evasion", ,0.6, ,0.75,,
,,,,9,42,15,24,,"Attack power +{{atk}:.0%}, Obtain {{prob}:.0%} physical and magic evasion", ,0.7, ,0.75,,
,,,,10,40,20,25,,"Attack power +{{atk}:.0%}, Obtain {{prob}:.0%} physical and magic evasion", ,0.8, ,0.75,,
Meteor,4,skchr_shotst_1,Armor-crushing Shot,1,5,0,-1,Regen on attack,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} defense to the target for {{duration}:.0f} seconds,atk_scale,1.2,def,-0.2,duration,5
,,,,2,5,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} defense to the target for {{duration}:.0f} seconds, ,1.25, ,-0.2, ,5
,,,,3,5,0,-1,,The next attack deals {{atk_scale}:.0%} physical damage and inflicts {{def}:.0%} defense to the target for {{duration}:.0f} seconds, ,1.3, ,-0.2, ,5
