Character,Rarity,SkillId,Skill Name,Skill Level,SP Cost,Initial SP,Skill Duration,Charging Type,Skill Description,,,,,,
Gravel,4,skchr_gravel_1,Shadow Raid,1,0,0,-1,Passive,"Defense power +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds",def,2,duration,6,,
,,,,2,0,0,-1,,"Defense power +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds", ,2.2, ,6,,
,,,,3,0,0,-1,,"Defense power +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds", ,2.4, ,6,,
,,,,4,0,0,-1,,"Defense power +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds", ,2.7, ,7,,
,,,,5,0,0,-1,,"Defense power +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds", ,2.9, ,7,,
,,,,6,0,0,-1,,"Defense power +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds", ,3.1, ,7,,
,,,,7,0,0,-1,,"Defense power +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds", ,3.4, ,8,,
,,,,8,0,0,-1,,"Defense power +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds", ,3.6, ,9,,
,,,,9,0,0,-1,,"Defense power +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds", ,3.8, ,10,,
,,,,10,0,0,-1,,"Defense power +{{def}:.0%} after deploying, effect weakens over {{duration}:.0f} seconds", ,4, ,12,,
Gravel,4,skchr_gravel_2,Rat Pack,1,0,0,-1,Passive,"Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds",hp_ratio,1,duration,10,,
,,,,2,0,0,-1,,"Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds", ,1.1, ,10,,
,,,,3,0,0,-1,,"Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds", ,1.2, ,10,,
,,,,4,0,0,-1,,"Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds", ,1.4, ,10,,
,,,,5,0,0,-1,,"Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds", ,1.5, ,10,,
,,,,6,0,0,-1,,"Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds", ,1.6, ,10,,
,,,,7,0,0,-1,,"Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds", ,1.8, ,10,,
,,,,8,0,0,-1,,"Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds", ,2, ,10,,
,,,,9,0,0,-1,,"Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds", ,2.2, ,10,,
,,,,10,0,0,-1,,"Obtain a shield that absorbs damage equal to {{hp_ratio}:.0%} of Max HP after deploying, effect weakens over {{duration}:.0f} seconds", ,2.5, ,10,,
Rope,4,skchr_rope_1,Hook Shot,1,7,0,0,Regen over time,"The next attack will pull the enemy towards self with small force, dealing {{atk_scale}:.0%} physical damage",atk_scale,1,,,,
,,,,2,7,0,0,,"The next attack will pull the enemy towards self with small force, dealing {{atk_scale}:.0%} physical damage", ,1.1,,,,
,,,,3,7,0,0,,"The next attack will pull the enemy towards self with small force, dealing {{atk_scale}:.0%} physical damage", ,1.2,,,,
,,,,4,6,0,0,,"The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.3,,,,
,,,,5,6,0,0,,"The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.4,,,,
,,,,6,6,0,0,,"The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.5,,,,
,,,,7,5,0,0,,"The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.6,,,,
,,,,8,5,0,0,,"The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.7,,,,
,,,,9,5,0,0,,"The next attack will pull the enemy towards self with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.8,,,,
,,,,10,5,0,0,,"The next attack will pull the enemy towards self with large force, dealing {{atk_scale}:.0%} physical damage", ,1.9,,,,
Rope,4,skchr_rope_2,Duplex Hook,1,25,10,0,Regen over time,"Pull 2 faraway enemies towards self with small force, dealing {{atk_scale}:.0%} physical damage",atk_scale,1.2,,,,
,,,,2,24,10,0,,"Pull 2 faraway enemies towards self with small force, dealing {{atk_scale}:.0%} physical damage", ,1.3,,,,
,,,,3,23,10,0,,"Pull 2 faraway enemies towards self with small force, dealing {{atk_scale}:.0%} physical damage", ,1.4,,,,
,,,,4,22,10,0,,"Pull 2 faraway enemies towards self with medium force, dealing {{atk_scale}:.0%} physical damage", ,1.5,,,,
