Character,Rarity,SkillId,Skill Name,Skill Level,SP Cost,Initial SP,Skill Duration,Charging Type,Skill Description,,,,
Orchid,3,skcom_quickattack[1],Swift Strike·Type α,1,55,0,25,Regen over time,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}",atk,0.06,attack_speed,10
,,,,2,54,0,25,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}", ,0.09, ,10
,,,,3,53,0,25,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}", ,0.12, ,10
,,,,4,50,0,25,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}", ,0.15, ,15
,,,,5,49,0,25,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}", ,0.19, ,15
,,,,6,48,0,25,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}", ,0.22, ,15
,,,,7,45,0,25,,"Attack power +{{atk}:.0%}, Attack speed +{{attack_speed}:.0f}", ,0.25, ,25
Deepcolor,4,skchr_deepcl_1,Tentacles of Light & Shadow,1,40,0,30,Regen over time,"All tentacles gain +{{atk}:.0%} Attack and Defense power, Recover {{hp_recovery_per_sec}:.0f} HP every second",atk,0.15,hp_recovery_per_sec,30
,,,,2,39,0,30,,"All tentacles gain +{{atk}:.0%} Attack and Defense power, Recover {{hp_recovery_per_sec}:.0f} HP every second", ,0.2, ,30
,,,,3,38,0,30,,"All tentacles gain +{{atk}:.0%} Attack and Defense power, Recover {{hp_recovery_per_sec}:.0f} HP every second", ,0.25, ,30
,,,,4,37,0,30,,"All tentacles gain +{{atk}:.0%} Attack and Defense power, Recover {{hp_recovery_per_sec}:.0f} HP every second", ,0.3, ,40
,,,,5,36,0,30,,"All tentacles gain +{{atk}:.0%} Attack and Defense power, Recover {{hp_recovery_per_sec}:.0f} HP every second", ,0.35, ,40
,,,,6,35,0,30,,"All tentacles gain +{{atk}:.0%} Attack and Defense power, Recover {{hp_recovery_per_sec}:.0f} HP every second", ,0.4, ,40
,,,,7,34,0,30,,"All tentacles gain +{{atk}:.0%} Attack and Defense power, Recover {{hp_recovery_per_sec}:.0f} HP every second", ,0.45, ,50
,,,,8,33,0,30,,"All tentacles gain +{{atk}:.0%} Attack and Defense power, Recover {{hp_recovery_per_sec}:.0f} HP every second", ,0.5, ,55
,,,,9,32,0,30,,"All tentacles gain +{{atk}:.0%} Attack and Defense power, Recover {{hp_recovery_per_sec}:.0f} HP every second", ,0.55, ,60
,,,,10,30,0,30,,"All tentacles gain +{{atk}:.0%} Attack and Defense power, Recover {{hp_recovery_per_sec}:.0f} HP every second", ,0.6, ,70
Deepcolor,4,skchr_deepcl_2,Vision Trap,1,80,40,25,Regen over time,"Increase attack range, all allies within attack range gain {{prob}:.0%} physical evasion",prob,0.25,,
,,,,2,80,42,28,,"Increase attack range, all allies within attack range gain {{prob}:.0%} physical evasion", ,0.25,,
,,,,3,80,44,31,,"Increase attack range, all allies within attack range gain {{prob}:.0%} physical evasion", ,0.25,,
,,,,4,80,46,34,,"Increase attack range, all allies within attack range gain {{prob}:.0%} physical evasion", ,0.3,,
,,,,5,80,48,37,,"Increase attack range, all allies within attack range gain {{prob}:.0%} physical evasion", ,0.3,,
,,,,6,80,50,40,,"Increase attack range, all allies within attack range gain {{prob}:.0%} physical evasion", ,0.3,,
,,,,7,80,52,43,,"Increase attack range, all allies within attack range gain {{prob}:.0%} physical evasion", ,0.35,,
,,,,8,80,54,47,,"Increase attack range, all allies within attack range gain {{prob}:.0%} physical evasion", ,0.4,,
,,,,9,80,56,51,,"Increase attack range, all allies within attack range gain {{prob}:.0%} physical evasion", ,0.45,,
,,,,10,80,60,55,,"Increase attack range, all allies within attack range gain {{prob}:.0%} physical evasion", ,0.5,,
Earthspirit,4,skcom_atk_up[2],Attack Strengthening·Type β,1,40,0,25,Regen over time,Attack power +{{atk}:.0%},atk,0.2,,
,,,,2,40,0,25,,Attack power +{{atk}:.0%}, ,0.25,,
,,,,3,40,0,25,,Attack power +{{atk}:.0%}, ,0.3,,
